gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
CLDN18,expression,0.013359244341632286,0.013359244341632286,1,down,Unknown,Unknown,Under investigation,Partial
SYT5,expression,0.013355821066189003,0.013355821066189003,1,down,Unknown,Unknown,Under investigation,Partial
TMEM151A,expression,0.013285560706933694,0.013285560706933694,1,down,Unknown,Unknown,Under investigation,Partial
HKDC1,expression,0.013230005042851626,0.013230005042851626,1,down,Unknown,Unknown,Under investigation,Partial
CYP3A5,expression,0.013108533056035673,0.013108533056035673,1,down,Unknown,Unknown,Under investigation,Partial
SCG2,expression,0.013046870333636476,0.013046870333636476,1,down,Unknown,Unknown,Under investigation,Partial
APC2,expression,0.012960260709077558,0.012960260709077558,1,down,Unknown,Unknown,Under investigation,Partial
ZFHX4,expression,0.012803822233529006,0.0092640514531959,3,"down,up",Unknown,Unknown,Under investigation,Partial
TTYH1,expression,0.012697377138350088,0.012697377138350088,1,down,Unknown,Unknown,Under investigation,Partial
NPTX1,expression,0.012602940705382872,0.012602940705382872,1,down,Unknown,Unknown,Under investigation,Partial
SPINK1,expression,0.012574883742386593,0.012574883742386593,1,down,Unknown,Unknown,Under investigation,Partial
USH1C,expression,0.012496830001345115,0.012496830001345115,1,down,Unknown,Unknown,Under investigation,Partial
FAT4,expression,0.012069565006763896,0.009175920609294785,2,"up,down",Unknown,Unknown,Under investigation,Partial
OBSCN,expression,0.011857849935108434,0.00871799571640184,3,"up,down",Unknown,Unknown,Under investigation,Partial
CIC,expression,0.011752971927923026,0.007590186219923454,2,"up,down",Unknown,Unknown,Under investigation,Partial
RCBTB1,expression,0.011493339445314174,0.011493339445314174,1,up,Unknown,Unknown,Under investigation,Partial
LINC00462,expression,0.011377032629937077,0.011377032629937077,1,up,Unknown,Unknown,Under investigation,Partial
PKHD1L1,expression,0.010116824048804087,0.0070002174390837845,2,"up,down",Unknown,Unknown,Under investigation,Partial
DNAH5,expression,0.009260187595878737,0.00925936271273724,2,"up,down",Unknown,Unknown,Under investigation,Partial
NOTCH1,expression,0.008603697667524423,0.008603697667524423,1,up,Oncogene,Unknown,GSI (γ-secretase inhibitors); anti-DLL3/DLL4 antibodies.,Yes
ARID1A,expression,0.008571122962498219,0.00856989823947648,2,"up,down",TSG,SWI/SNF chromatin,SWI/SNF loss -> synthetic lethality with HDAC/EZH2 inhibitors (tazemetostat).,Yes
DNAH11,expression,0.008219185899381176,0.008219185899381176,1,up,Unknown,Unknown,Under investigation,Partial
FBXW7,expression,0.008201378961171324,0.008200897577538023,2,"up,down",Unknown,Unknown,Under investigation,Partial
XIRP2,expression,0.007477892677896726,0.007477892677896726,1,up,Unknown,Unknown,Under investigation,Partial
FAM135B,expression,0.0074218167787368,0.0074218167787368,1,up,Unknown,Unknown,Under investigation,Partial
SPTA1,expression,0.006909609011622551,0.006909609011622551,1,up,Unknown,Unknown,Under investigation,Partial
HMCN1,expression,0.006801741892997556,0.006801741892997556,1,up,Unknown,Unknown,Under investigation,Partial
SI,expression,0.006528033720905668,0.006528033720905668,1,up,Unknown,Unknown,Under investigation,Partial
NAV3,expression,0.006523279911665924,0.006523279911665924,1,up,Unknown,Unknown,Under investigation,Partial
PAPPA2,expression,0.0063575644841189615,0.0063575644841189615,1,up,Unknown,Unknown,Under investigation,Partial
RYR3,expression,0.006319389253991011,0.006319389253991011,1,up,Unknown,Unknown,Under investigation,Partial
DMD,expression,0.006298086800988294,0.006297592778391631,2,"up,down",Unknown,Unknown,Under investigation,Partial
